Drink,fl oz,Caffeine (mg),mg/floz
Monster Killer Brew,15,300,20.0
Monster Lo-Carb,16,140,8.8
Monster Mango Loco,16,152,9.5
Monster Mule,16,160,10.0
Monster Nitro,16,160,10.0
Monster Pipeline Punch,16,160,10.0
Monster Rehab,15.5,160,10.3
Monster Reserve,16,160,10.0
Monster Ripper Energy Juice (UK),16.91,160,9.5
Monster The Doctor VR46 (UK),16.91,160,9.5
Monster Tour Water,16,0,0.0
Monster Ultra,16,150,9.4
Monster Zero Sugar,16,160,10.0
Moose Juice Energy Drink,16.94,200,11.8
Morning Thunder Tea,8,45,5.6
Mother Energy Drink,16.91,160,9.5
Mount Hagen Instant Coffee,8,70,8.8
Mountain Dew,12,54,4.5
Mountain Dew Amp,16,142,8.9
Mountain Dew Baja Blast,12,54,4.5
Mountain Dew Code Red,12,54,4.5
Mountain Dew Energy,16,180,11.2
Mountain Dew Game Fuel,16,90,5.6
Mountain Dew Kickstart,16,90,5.6
Mountain Dew Live Wire,12,54,4.5
Mountain Dew Major Melon,12,55,4.6
Mountain Dew Spark,12,46,3.8
Mountain Dew Voltage,12,55,4.6
Mountain Dew Zero Sugar,12,68,5.7
Moxie Soda,12,24,2.0
Mucho Mango Energy Drink,8,0,0.0
Mug Root Beer,12,0,0.0
Muscle Milk Coffee House,11,120,10.9
Muscle Monster,15,157,10.5
Mushroom Coffee,8,50,6.2
Nerd Focus,12,128,10.7
Nescafe 3 in 1 Instant Coffee,6,50,8.3
Nescafe Dolce Gusto,8,106,13.2
Nescafe Gold,8.46,66,7.8
Nescafe Ice Java,8,100,12.5
Nescafe Ricoffy,8,6,0.8
Nespresso Coffee Capsules,1.35,60,44.4
Nestea Iced Tea,16.9,23,1.4
Nestle Milo,8,4,0.4
Neu Nootropic Shot,2,350,175.0
Neuro Sonic,14.5,100,6.9
NOCCO Energy Drink (EU),11.17,180,16.1
Noocaf Smart Coffee,8,160,20.0
NOS Energy Drink,16,160,10.0
Nutramint Smart Serum,2,200,100.0
Nuun Sport,16,40,2.5
OCA Energy Drink,12,120,10.0
Ocean Spray Brew,8,40,5.0
Octane Energy Drink Mix,12,225,18.8
Oi Ocha Green Tea,16.9,60,3.6
Oikos Pro Fuel,10,100,10.0
OK Energy Drink,8.45,80,9.5
OLIPOP Vintage Cola,12,50,4.2
Orange Crush,12,0,0.0
Oregon Chai Tea,6,45,7.5
Pacific Chai,6,29,4.8
Panera Bread Coffee,16,189,11.8
PC Cola,12,12,1.0
PC Cola Diet,12,13,1.1
Peace Tea,23,23,1.0
Peet's Brewed Coffee,16,267,16.7
Peet's Caffe Americano,16,140,8.8
Peet's Caffe Latte,16,140,8.8
Peet's Caffe Mocha,16,165,10.3
Peet's Cappuccino,16,140,8.8
Peet's Coffee Espresso,1.5,70,46.7
Peet's Decaf Espresso,1.5,10,6.7
Peet's Iced Coffee,16,150,9.4
Peet's Iced Latte,16,140,8.8
Peet's Iced Mocha,16,165,10.3
Pep Talk Sparkling Water,12,55,4.6
Pepsi,12,38,3.2
Pepsi Caffeine Free,12,0,0.0
Pepsi Made With Sugar,12,38,3.2
Pepsi Max (UK),11.16,43,3.8
Pepsi Zero Sugar,12,38,3.2
Performance Caffeine,2,180,90.0
PerformElite Pre-Workout,8,225,28.1
Perk Energy Beverage,8,100,12.5
Perrier Energize,8.46,99,11.7
Perrier Sparkling Water,11.15,0,0.0
PG Tips Black Tea,6.78,50,7.4
Phocus Sparkling Water,11.5,75,6.5
Phoenix Energy Shot,2,280,140.0
Pibb Xtra,12,40,3.3
Poland Spring Sparkling Energy Water,11.5,75,6.5
Polar Frost Plus Energy,17,67,3.9
Polar Seltzer Water,12,0,0.0
Poppi Soda Classic Cola,12,32,2.7
Power Horse Energy Drink (EU),8.45,80,9.5
Premier Protein Cafe Latte,11.5,120,10.4
Premium Cola (EU),11.16,83,7.4
Prime Energy Drink,12,200,16.7
Private Selection Canned Espresso,15,145,9.7
Propel Zero Powder,16,0,0.0
Proper Wild Energy Shot,2.5,180,72.0
Protein2O + Energy,16.91,125,7.4
Pure Boost Energy Drink Mix,16,100,6.2
Pure Cofain 699 (EU),8.46,175,20.7
Pure Kick Energy Drink Mix,16.9,80,4.7
Pure Leaf Iced Tea,18.5,69,3.7
Purity Coffee,8,163,20.4
Quake Energy Berry Blast Slurpee,16,92,5.8
Quake Energy Drink,16,250,15.6
Rambler Energy Drink,16,120,7.5
Raze Energy Drink,16,300,18.8
RC (Royal Crown) Cola,12,43,3.6
Red Bull,8.46,80,9.5
Red Bull Editions,8.46,80,9.5
Red Bull Simply Cola,8.46,32,3.8
Red Bull Sugarfree,8.46,80,9.5
Red Bull Zero,8.46,80,9.5
